Method,Framework,Count,Mean,Allocated
'BytesToString: Comparison',.NET 6.0,2,"49,974.17",90344
'BytesToString: Comparison',.NET 7.0,2,"52,068.99",90344
'BytesToString: Comparison',.NET 6.0,5,"123,730.81",221032
'BytesToString: Comparison',.NET 7.0,5,"131,910.44",221032
'BytesToString: Comparison',.NET 6.0,10,"241,146.32",425832
'BytesToString: Comparison',.NET 7.0,10,"259,802.41",425832
'BytesToString: Comparison',.NET 6.0,20,"486,761.96",835433
'BytesToString: Comparison',.NET 7.0,20,"523,621.60",835433
'BytesToString: Comparison',.NET 6.0,25,"753,160.78",1040258
'BytesToString: Comparison',.NET 7.0,25,"843,283.93",1040245
'BytesToString: Comparison',.NET 6.0,50,"1,541,432.81",2064245
'BytesToString: Comparison',.NET 7.0,50,"1,568,012.07",2064262
'BytesToString: Comparison',.NET 6.0,75,"2,223,996.69",3088253
'BytesToString: Comparison',.NET 7.0,75,"2,298,207.47",3088251
'BytesToString: Comparison',.NET 6.0,100,"2,823,363.44",4112284
'BytesToString: Comparison',.NET 7.0,100,"3,002,978.51",4112290
'BytesToString: Comparison',.NET 6.0,250,"6,850,184.48",10256301
'BytesToString: Comparison',.NET 7.0,250,"7,190,136.07",10256330
'CombineStrings: Comparison',.NET 6.0,2,59.64,272
'CombineStrings: Comparison',.NET 7.0,2,72.14,272
'CombineStrings: Comparison',.NET 6.0,5,106.54,472
'CombineStrings: Comparison',.NET 7.0,5,127.56,472
'CombineStrings: Comparison',.NET 6.0,10,169.7,768
'CombineStrings: Comparison',.NET 7.0,10,192.79,768
'CombineStrings: Comparison',.NET 6.0,20,271.85,1296
'CombineStrings: Comparison',.NET 7.0,20,314.27,1296
'CombineStrings: Comparison',.NET 6.0,25,299.3,1400
'CombineStrings: Comparison',.NET 7.0,25,350.15,1400
'CombineStrings: Comparison',.NET 6.0,50,534.83,2480
'CombineStrings: Comparison',.NET 7.0,50,611.48,2480
'CombineStrings: Comparison',.NET 6.0,75,794.38,4080
'CombineStrings: Comparison',.NET 7.0,75,920.11,4080
'CombineStrings: Comparison',.NET 6.0,100,939.4,4576
'CombineStrings: Comparison',.NET 7.0,100,"1,096.00",4576
'CombineStrings: Comparison',.NET 6.0,250,"2,438.19",13864
'CombineStrings: Comparison',.NET 7.0,250,"2,841.50",13864
'PerformAction: Comparison',.NET 6.0,2,59.25,272
'PerformAction: Comparison',.NET 7.0,2,71.4,272
'PerformAction: Comparison',.NET 6.0,5,108.36,472
'PerformAction: Comparison',.NET 7.0,5,127.05,472
'PerformAction: Comparison',.NET 6.0,10,171.51,768
'PerformAction: Comparison',.NET 7.0,10,194.28,768
'PerformAction: Comparison',.NET 6.0,20,278.57,1296
'PerformAction: Comparison',.NET 7.0,20,322.47,1296
'PerformAction: Comparison',.NET 6.0,25,307.02,1400
'PerformAction: Comparison',.NET 7.0,25,356.24,1400
'PerformAction: Comparison',.NET 6.0,50,544.21,2480
'PerformAction: Comparison',.NET 7.0,50,625.62,2480
'PerformAction: Comparison',.NET 6.0,75,813.15,4080
'PerformAction: Comparison',.NET 7.0,75,956.34,4080
'PerformAction: Comparison',.NET 6.0,100,968.96,4576
'PerformAction: Comparison',.NET 7.0,100,"1,123.79",4576
