Method,Framework,Count,Mean,Allocated
'AreEqual: as Reference',.NET 6.0,2,29.198,80
'AreEqual: as Reference',.NET 7.0,2,35.009,80
'AreEqual: as Reference',.NET 6.0,5,35.391,88
'AreEqual: as Reference',.NET 7.0,5,42.687,88
'AreEqual: as Reference',.NET 6.0,10,54.723,112
'AreEqual: as Reference',.NET 7.0,10,61.842,112
'AreEqual: as Reference',.NET 6.0,20,84.902,152
'AreEqual: as Reference',.NET 7.0,20,106.258,152
'AreEqual: as Reference',.NET 6.0,25,97.098,168
'AreEqual: as Reference',.NET 7.0,25,118.891,168
'AreEqual: as Reference',.NET 6.0,50,170.822,272
'AreEqual: as Reference',.NET 7.0,50,215.436,272
'AreEqual: as Reference',.NET 6.0,75,244.312,368
'AreEqual: as Reference',.NET 7.0,75,290.567,368
'AreEqual: as Reference',.NET 6.0,100,319.384,472
'AreEqual: as Reference',.NET 7.0,100,384.053,472
'AreEqual: as Reference',.NET 6.0,250,751.64,1072
'AreEqual: as Reference',.NET 7.0,250,954.709,1072
'AreEqual: as Value',.NET 6.0,2,104.668,288
'AreEqual: as Value',.NET 7.0,2,131.068,288
'AreEqual: as Value',.NET 6.0,5,176.798,400
'AreEqual: as Value',.NET 7.0,5,196.447,400
'AreEqual: as Value',.NET 6.0,10,367.312,736
'AreEqual: as Value',.NET 7.0,10,446.336,736
'AreEqual: as Value',.NET 6.0,20,689.979,1296
'AreEqual: as Value',.NET 7.0,20,769.546,1296
'AreEqual: as Value',.NET 6.0,25,815.989,1520
'AreEqual: as Value',.NET 7.0,25,912.514,1520
'AreEqual: as Value',.NET 6.0,50,"1,649.39",2976
'AreEqual: as Value',.NET 7.0,50,"1,870.65",2976
'AreEqual: as Value',.NET 6.0,75,"2,446.33",4320
'AreEqual: as Value',.NET 7.0,75,"2,733.54",4320
'AreEqual: as Value',.NET 6.0,100,"3,204.50",5776
'AreEqual: as Value',.NET 7.0,100,"3,689.61",5776
'AreEqual: as Value',.NET 6.0,250,"8,005.48",14176
'AreEqual: as Value',.NET 7.0,250,"9,326.97",14176
'BytesToString: ReadOnlySpan<>',.NET 6.0,2,"23,862.99",36888
'BytesToString: ReadOnlySpan<>',.NET 7.0,2,"23,437.35",36888
'BytesToString: ReadOnlySpan<>',.NET 6.0,5,"24,047.14",36888
'BytesToString: ReadOnlySpan<>',.NET 7.0,5,"23,609.27",36888
'BytesToString: ReadOnlySpan<>',.NET 6.0,10,"23,453.14",36888
'BytesToString: ReadOnlySpan<>',.NET 7.0,10,"23,533.29",36888
'BytesToString: ReadOnlySpan<>',.NET 6.0,20,"23,517.34",36888
'BytesToString: ReadOnlySpan<>',.NET 7.0,20,"23,675.51",36888
'BytesToString: ReadOnlySpan<>',.NET 6.0,25,"23,737.75",36888
'BytesToString: ReadOnlySpan<>',.NET 7.0,25,"23,682.60",36888
'BytesToString: ReadOnlySpan<>',.NET 6.0,50,"23,068.27",36888
'BytesToString: ReadOnlySpan<>',.NET 7.0,50,"23,392.56",36888
'BytesToString: ReadOnlySpan<>',.NET 6.0,75,"23,375.21",36888
'BytesToString: ReadOnlySpan<>',.NET 7.0,75,"23,739.78",36888
'BytesToString: ReadOnlySpan<>',.NET 6.0,100,"23,468.85",36888
'BytesToString: ReadOnlySpan<>',.NET 7.0,100,"23,353.38",36888
'BytesToString: ReadOnlySpan<>',.NET 6.0,250,"25,095.39",36888
'BytesToString: ReadOnlySpan<>',.NET 7.0,250,"23,624.72",36888
'Clone: Array as Record',.NET 6.0,2,"16,103.62",6551
'Clone: Array as Record',.NET 7.0,2,"14,560.36",6552
'Clone: Array as Record',.NET 6.0,5,"36,809.52",14577
'Clone: Array as Record',.NET 7.0,5,"31,785.71",14374
'Clone: Array as Record',.NET 6.0,10,"77,204.63",28219
'Clone: Array as Record',.NET 7.0,10,"65,595.28",27897
'Clone: Array as Record',.NET 6.0,20,"149,585.17",55065
'Clone: Array as Record',.NET 7.0,20,"136,498.69",54781
'Clone: Array as Record',.NET 6.0,25,"191,351.89",68369
'Clone: Array as Record',.NET 7.0,25,"172,717.54",67787
'Clone: Array as Record',.NET 6.0,50,"375,310.20",135116
'Clone: Array as Record',.NET 7.0,50,"347,661.26",134984
'Clone: Array as Record',.NET 6.0,75,"648,356.75",202820
'Clone: Array as Record',.NET 7.0,75,"604,239.83",202820
'Clone: Array as Record',.NET 6.0,100,"845,051.16",269739
'Clone: Array as Record',.NET 7.0,100,"782,635.55",269314
'Clone: Array as Record',.NET 6.0,250,"2,125,850.37",678165
'Clone: Array as Record',.NET 7.0,250,"1,885,344.48",676241
'Clone: Array as Reference',.NET 6.0,2,"9,229.89",4895
'Clone: Array as Reference',.NET 7.0,2,"8,362.74",5010
'Clone: Array as Reference',.NET 6.0,5,"21,337.13",10472
'Clone: Array as Reference',.NET 7.0,5,"18,251.54",10531
'Clone: Array as Reference',.NET 6.0,10,"41,426.71",20300
'Clone: Array as Reference',.NET 7.0,10,"36,159.33",20005
'Clone: Array as Reference',.NET 6.0,20,"82,468.34",39132
'Clone: Array as Reference',.NET 7.0,20,"76,020.82",39238
'Clone: Array as Reference',.NET 6.0,25,"101,036.09",48111
'Clone: Array as Reference',.NET 7.0,25,"93,539.90",48147
'Clone: Array as Reference',.NET 6.0,50,"205,637.43",94773
'Clone: Array as Reference',.NET 7.0,50,"188,832.94",94777
'Clone: Array as Reference',.NET 6.0,75,"317,131.46",142774
'Clone: Array as Reference',.NET 7.0,75,"295,497.67",143245
'Clone: Array as Reference',.NET 6.0,100,"495,247.53",190641
'Clone: Array as Reference',.NET 7.0,100,"476,596.71",190761
'Clone: Array as Reference',.NET 6.0,250,"1,231,242.55",479086
'Clone: Array as Reference',.NET 7.0,250,"1,129,602.69",475464
'Clone: Array as Value',.NET 6.0,2,31.585,248
'Clone: Array as Value',.NET 7.0,2,44.701,248
'Clone: Array as Value',.NET 6.0,5,60.768,584
'Clone: Array as Value',.NET 7.0,5,89.417,584
'Clone: Array as Value',.NET 6.0,10,109.906,1144
'Clone: Array as Value',.NET 7.0,10,162.589,1144
'Clone: Array as Value',.NET 6.0,20,205.16,2264
'Clone: Array as Value',.NET 7.0,20,309.737,2264
'Clone: Array as Value',.NET 6.0,25,250.047,2824
'Clone: Array as Value',.NET 7.0,25,381.572,2824
'Clone: Array as Value',.NET 6.0,50,509.821,5624
'Clone: Array as Value',.NET 7.0,50,751.936,5624
'Clone: Array as Value',.NET 6.0,75,698.636,8424
'Clone: Array as Value',.NET 7.0,75,"1,067.68",8424
'Clone: Array as Value',.NET 6.0,100,896.77,11224
'Clone: Array as Value',.NET 7.0,100,"1,458.56",11224
'Clone: Array as Value',.NET 6.0,250,"2,492.81",28024
'Clone: Array as Value',.NET 7.0,250,"3,837.95",28024
'ContainsAny: as Reference',.NET 6.0,2,"5,759.79",3266
